a,779,1485,1574 
aassan,0,1,0 
abajo,9,2,6 
abalance,0,1,0 
abalanzandose,1,0,1 
abalanzaron,0,1,0 
abalanzarse,1,0,0 
abalanzo,1,2,1 
abandona,0,1,2 
abandonaban,1,0,0 
abandonada,6,1,0 
abandonadas,1,0,0 
abandonado,3,2,1 
abandonados,1,0,0 
abandonamos,0,2,0 
abandonan,1,0,0 
abandonando,1,1,0 
abandonandolas,0,1,0 
abandonar,0,1,3 
abandonare,0,1,0 
abandonarla,1,0,1 
abandonarme,0,1,0 
abandonaron,3,0,0 
abandonarse,2,0,0 
abandonarte,0,1,0 
abandonas,0,1,0 
abandonaselo,0,1,0 
abandonasen,0,1,0 
abandone,0,2,0 
abandonemos,0,0,1 
abandono,0,4,6 
abanico,1,1,0 
abanicos,0,1,0 
abarcando,1,0,1 
abarco,0,0,1 
abarrotada,0,1,0 
abatia,0,0,1 
abatidisimo,0,1,0 
abatido,0,0,1 
abatio,1,0,0 
abbas,0,1,0 
abdalah,0,2,0 
abdicar,0,0,1 
abdicara,0,0,1 
abdomen,0,0,1 
abejas,0,1,0 
abencerraje,0,1,0 
aberracion,0,0,1 
abertura,0,1,1 
abierta,2,5,0 
abiertas,2,1,2 
abierto,0,5,2 
abiertos,1,0,4 
abismarse,0,0,2 
abismo,1,1,2 
ablandarse,1,0,0 
abluciones,0,2,0 
abnegacion,0,0,1 
abnegaciones,0,1,0 
abofeteando,1,0,0 
abofeteandose,0,1,0 
abofeteo,0,1,1 
abogado,2,0,0 
abogados,1,0,1 
abombada,1,0,0 
abominable,0,0,1 
abominables,1,1,1 
abonare,0,1,0 
abonos,1,0,0 
aborrece,0,0,1 
aborrecere,0,0,1 
aborrecerte,0,0,1 
aborrecia,1,0,1 
aborrecidos,0,0,1 
aborrezca,0,0,1 
abortado,0,0,1 
aborto,0,0,1 
aboul,0,1,0 
abovedada,0,2,0 
abra,0,1,0 
abrame,0,0,1 
abras,0,1,0 
abrasaban,1,0,0 
abrasada,0,1,0 
abrasado,0,1,0 
abrasantes,0,0,1 
abrasara,0,1,0 
abrasaron,0,1,0 
abrasase,0,1,0 
abraso,0,2,1 
abrazaba,0,2,0 
abrazada,0,1,0 
abrazado,0,0,1 
abrazados,0,1,0 
abrazar,0,0,1 
abrazaron,0,1,0 
abrazase,0,1,0 
abrazo,0,4,1 
abrazos,1,1,0 
abre,0,1,2 
abreme,0,1,0 
abren,0,2,0 
abres,0,1,0 
abrevadero,0,1,0 
abrevia,0,1,0 
abri,0,10,0 
abria,1,4,5 
abrian,1,1,0 
abrianse,1,0,0 
abrid,0,2,0 
abriendo,3,3,2 
abriendose,1,0,0 
abriera,0,0,1 
abrieran,0,0,1 
abrieron,1,5,1 
abrieronse,1,0,0 
abrigo,0,1,0 
abril,0,0,5 
abrio,5,15,4 
abrir,4,8,2 
abriras,0,1,0 
abrirla,0,1,1 
abrirles,0,1,0 
abrirlo,0,1,0 
abrirse,0,1,2 
abrocharse,0,0,1 
abruma,0,0,1 
abrumaba,1,0,0 
abrumadas,1,0,0 
abrumado,0,1,2 
abrumador,0,1,1 
abrumadora,1,0,0 
abrumados,1,0,0 
abrumandole,0,1,0 
abrume,0,1,0 
absolucion,0,0,2 
absoluta,0,0,4 
absolutamente,0,3,0 
absolutismo,0,0,17 
absolutista,0,0,4 
absolutistas,0,0,5 
absoluto,3,3,8 
absorber,0,0,1 
absorbi,0,1,0 
absorbia,0,2,0 
absorbian,0,1,0 
absorbiendo,1,0,0 
absorto,1,0,0 
abstenia,0,1,0 
abstraccion,0,0,1 
absurdas,0,1,0 
absurdo,1,0,2 
abuela,2,0,2 
abuelo,3,0,0 
abuelos,1,0,0 
abukir,0,1,0 
abultada,0,2,1 
abultados,0,0,2 
abundan,0,1,0 
abundancia,2,0,1 
abundando,0,1,0 
abundante,0,0,3 
abundantes,0,4,1 
abunowas,0,1,0 
aburre,0,0,1 
aburrido,0,0,1 
aburrimiento,1,0,0 
abusado,0,0,1 
abusando,0,1,0 
abusar,1,1,0 
abuses,0,1,0 
abusir,0,1,0 
abyectos,0,0,1 
abylssuha,0,1,0 
abymansur,0,2,0 
acaba,1,5,5 
acababa,4,4,6 
acababan,2,0,1 
acabado,1,2,1 
acabais,0,1,0 
acabamos,0,1,0 
acaban,1,0,0 
acabando,0,0,2 
acabar,3,1,1 
acabara,1,2,4 
acabaran,0,0,1 
acabaras,0,1,0 
acabare,0,0,1 
acabaria,3,0,0 
acabarian,0,0,1 
acabaron,3,6,1 
acabarse,0,1,0 
acabas,0,4,0 
acabase,1,1,0 
